,北京,上海,天津,重庆,哈尔滨,长春,沈阳,呼和浩特,石家庄,太原,济南,郑州,西安,兰州,银川,西宁,乌鲁木齐,合肥,南京,杭州,长沙,南昌,武汉,成都,贵阳,福州,台北,广州,海口,南宁,昆明,拉萨,香港
北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津,104,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆,1465,1445,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈尔滨,1055,1675,1069,2515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长春,854,1444,856,2301,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沈阳,621,1191,604,2040,509,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
呼和浩特,408,1374,495,1342,1321,1160,974,,,,,,,,,,,,,,,,,,,,,,,,,,
石家庄,270,991,267,1195,1323,1117,870,385,,,,,,,,,,,,,,,,,,,,,,,,,
太原,406,1099,426,1081,1458,1261,1024,335,168,,,,,,,,,,,,,,,,,,,,,,,,
济南,366,729,280,1253,1295,1069,798,648,273,416,,,,,,,,,,,,,,,,,,,,,,,
郑州,617,827,574,893,1637,1417,1151,689,366,356,361,,,,,,,,,,,,,,,,,,,,,,
西安,917,1223,916,572,1973,1769,1520,772,652,518,779,444,,,,,,,,,,,,,,,,,,,,,
兰州,1187,1718,1226,768,2192,2020,1807,874,970,803,1182,906,503,,,,,,,,,,,,,,,,,,,,
银川,897,1595,951,979,1870,1706,1506,549,717,554,965,771,510,334,,,,,,,,,,,,,,,,,,,
西宁,1333,1913,1381,906,2306,2146,1946,987,1134,967,1359,1097,699,196,441,,,,,,,,,,,,,,,,,,
乌鲁木齐,2417,3269,2504,2306,3062,2999,2905,2010,2335,2192,2605,2445,2114,1625,1674,1439,,,,,,,,,,,,,,,,,
合肥,898,402,812,1061,1743,1508,1235,1112,734,796,533,468,827,1327,1234,1523,2906,,,,,,,,,,,,,,,,
南京,900,266,805,1207,1667,1432,1162,1161,776,864,538,567,957,1452,1338,1647,3012,146,,,,,,,,,,,,,,,
杭州,1126,169,1028,1314,1816,1583,1322,1397,1012,1098,769,789,1148,1650,1559,1846,3231,326,236,,,,,,,,,,,,,,
长沙,1341,886,1279,647,2293,2061,1786,1409,1104,1077,1012,739,781,1229,1290,1412,2850,581,706,730,,,,,,,,,,,,,
南昌,1248,611,1170,911,2121,1886,1613,1399,1048,1066,890,710,906,1395,1392,1587,3018,378,469,449,286,,,,,,,,,,,,
武汉,1050,684,983,762,1993,1761,1486,1157,825,823,713,469,653,1149,1133,1343,2767,312,454,558,301,260,,,,,,,,,,,
成都,1521,1659,1521,266,2576,2373,2124,1326,1257,1118,1367,1010,605,601,877,699,2058,1263,1408,1540,906,1159,982,,,,,,,,,,
贵阳,1735,1527,1703,328,2769,2548,2279,1651,1466,1370,1481,1132,880,1088,1307,1211,2571,1183,1322,1376,647,932,871,519,,,,,,,,,
福州,1559,611,1466,1312,2283,2051,1791,1778,1404,1455,1193,1107,1350,1841,1829,2032,3463,670,663,469,666,445,699,1571,1256,,,,,,,,
台北,1717,688,1620,1561,2347,2120,1874,1971,1589,1657,1358,1319,1590,2084,2059,2277,3704,861,819,592,915,691,937,1821,1492,250,,,,,,,
广州,1889,1213,1819,977,2791,2556,2283,1971,1661,1640,1544,1298,1308,1699,1816,1863,3282,1048,1132,1045,562,670,839,1234,764,694,866,,,,,,
海口,2233,1630,2173,1073,3178,2944,2670,2262,1988,1942,1906,1623,1536,1840,2020,1977,3336,1439,1535,1462,895,1067,1193,1289,770,1105,1252,419,,,,,
南宁,2050,1603,2002,770,3042,2812,2538,2029,1792,1723,1749,1432,1276,1536,1738,1663,3009,1339,1457,1436,760,998,1054,969,452,1168,1363,505,328,,,,
昆明,2086,1950,2067,621,3136,2921,2658,1944,1816,1699,1866,1507,1183,1232,1517,1298,2507,1602,1743,1798,1068,1353,1290,640,423,1652,1878,1074,914,607,,,
拉萨,2563,2902,2597,1485,3558,3394,3183,2238,2336,2171,2518,2190,1747,1377,1689,1252,1603,2503,2647,2786,2128,2396,2228,1246,1560,2787,3032,2312,2178,1872,1266,,
香港,1969,1230,1895,1108,2843,2608,2336,2071,1750,1738,1617,1391,1426,1827,1935,1992,3413,1106,1176,1064,665,730,925,1366,893,669,808,132,444,602,1189,2435,
澳门,1987,1276,1916,1075,2876,2641,2368,2077,1763,1745,1639,1401,1416,1805,1924,1967,3382,1135,1212,1109,668,757,939,1330,848,726,871,108,382,540,1132,2382,0
